,Player,No. of Championships,mvp_count,WS/48,PPG,fmvp_count,G,MPG,RPG,APG,PER,BPM,VORP,No. of All Star Selections,All_NBA,SPG,BPG,midpoint,scaled_championships,scaled_reg_mvp,scaled_per,scaled_vorp,scaled_bpm,scaled_ws,scaled_all_star,scaled_ppg,scaled_gp,scaled_mpg,scaled_rpg,scaled_apg,scaled_fin_mvp,scaled_anba,scaled_spg,scaled_bpg,GOAT_SCORE
37,Giannis Antetokounmpo,0.0,1.0,0.1797,19.99,0.0,0.0,32.53,8.86,4.31,22.92,4.92,29.75,4.0,3.0,1.18,1.31,3000.0,0.0,0.16666666666666666,0.8212110354711574,0.22328129690783546,0.5336225596529284,0.7173652694610778,0.21052631578947367,0.6636786188579017,0.0,0.7910992217898833,0.6401734104046243,0.3851653261840929,0.0,0.2,0.4354243542435424,0.3742857142857143,31.02582581545206
38,Gary Payton,1.0,0.0,0.1483,16.34,0.0,1335.0,35.29,0.0,6.72,18.88,3.26,62.53,9.0,9.0,1.83,0.0,1999.0,0.14285714285714285,0.0,0.6764600501612326,0.4693035124587211,0.3535791757049891,0.5920159680638721,0.47368421052631576,0.5424966799468791,0.8286778398510242,0.8582198443579766,0.0,0.6005361930294906,0.0,0.6,0.6752767527675277,0.0,30.956664959157106
39,Tony Parker,4.0,0.0,0.1396,0.0,1.0,1254.0,0.0,0.0,5.61,18.24,1.11,30.13,6.0,4.0,0.0,0.0,2010.5,0.5714285714285714,0.0,0.6535292010032246,0.22613329330531368,0.12039045553145336,0.5572854291417165,0.3157894736842105,0.0,0.7783985102420856,0.0,0.0,0.5013404825737265,0.16666666666666666,0.26666666666666666,0.0,0.0,30.554582112639295
40,Paul Pierce,1.0,0.0,0.157,19.66,1.0,1343.0,34.16,0.0,0.0,19.73,3.68,65.55,10.0,4.0,1.3,0.0,2008.0,0.14285714285714285,0.0,0.7069150841992118,0.49196937856499545,0.3991323210412147,0.626746506986028,0.5263157894736842,0.6527224435590969,0.8336436995654872,0.8307392996108949,0.0,0.0,0.16666666666666666,0.26666666666666666,0.4797047970479705,0.0,30.337167629535116
41,Chris Bosh,2.0,0.0,0.1593,19.25,0.0,0.0,35.76,8.5,0.0,20.56,1.87,31.14,11.0,1.0,0.0,1.04,2010.0,0.2857142857142857,0.0,0.7366535292010032,0.23371359951966375,0.20281995661605204,0.6359281437125748,0.5789473684210527,0.6391102257636122,0.0,0.8696498054474708,0.6141618497109828,0.0,0.0,0.06666666666666667,0.0,0.29714285714285715,30.0698469194413
42,Ray Allen,2.0,0.0,0.1503,18.85,0.0,1300.0,35.65,0.0,0.0,18.56,2.92,57.58,10.0,2.0,0.0,0.0,2005.5,0.2857142857142857,0.0,0.6649946255822285,0.43215250675472827,0.31670281995661603,0.6,0.5263157894736842,0.6258300132802125,0.8069522036002483,0.8669747081712063,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,29.982454420485695
43,Robert Horry,7.0,0.0,0.0,0.0,0.0,1107.0,0.0,0.0,0.0,0.0,1.86,26.41,0.0,0.0,0.0,0.94,2000.5,1.0,0.0,0.0,0.19821374962473728,0.2017353579175705,0.0,0.0,0.0,0.6871508379888268,0.0,0.0,0.0,0.0,0.0,0.0,0.2685714285714285,29.287970606962794
44,Jason Kidd,1.0,0.0,0.1327,0.0,0.0,1391.0,36.03,0.0,8.69,17.91,3.81,73.45,10.0,6.0,1.93,0.0,2004.0,0.14285714285714285,0.0,0.6417054819061269,0.5512608826178325,0.41323210412147504,0.5297405189620759,0.5263157894736842,0.0,0.8634388578522657,0.876215953307393,0.0,0.776586237712243,0.0,0.4,0.7121771217712177,0.0,28.53035032718777
45,Sam Cassell,3.0,0.0,0.1408,15.75,0.0,993.0,0.0,0.0,5.98,19.48,1.83,28.82,1.0,1.0,0.0,0.0,2001.0,0.42857142857142855,0.0,0.697957721246865,0.21630141098769137,0.1984815618221258,0.5620758483033932,0.05263157894736842,0.5229083665338645,0.6163873370577281,0.0,0.0,0.5344057193923146,0.0,0.06666666666666667,0.0,0.0,28.525045207196854
46,Patrick Ewing,0.0,0.0,0.1495,20.98,0.0,1183.0,34.31,9.81,0.0,21.01,2.9,50.07,11.0,7.0,0.0,2.45,1994.0,0.0,0.0,0.7527767825152276,0.37578805163614526,0.3145336225596529,0.5968063872255488,0.5789473684210527,0.696547144754316,0.7343265052762259,0.834387159533074,0.7088150289017342,0.0,0.0,0.4666666666666667,0.0,0.7000000000000001,28.40172436185587
