,Player,No. of Championships,mvp_count,WS/48,PPG,fmvp_count,MPG,RPG,APG,PER,BPM,VORP,No. of All Star Selections,All_NBA,SPG,BPG,Usg%,PTS,fmvp_pct,midpoint,scaled_cs,scaled_reg_mvp,scaled_per,scaled_ws,scaled_all_star,scaled_ppg,scaled_mpg,scaled_rpg,scaled_apg,scaled_fin_mvp,scaled_anba,scaled_pts,GOAT_SCORE
99,Tom Sanders,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.698181818181819
100,Jim McMillian,0.0,0.0,0.0,0.0,0.0,32.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000002,0.0,0.0,0.0,0.0,0.0,4.683000000000001
101,Red Kerr,0.0,0.0,0.0,0.0,0.0,0.0,11.15,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12480.0,0.0,1960.5,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.4871122761031018,0.0,0.0,0.0,0.3972118781628951,4.541044498247319
102,Jim Pollard,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1952.0,0.4545454545454546,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,4.457705627705627
103,Slick Watts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,1976.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6445846477392219,0.0,0.0,0.0,4.312271293375394
104,Don Ohl,0.0,0.0,0.0,15.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1965.5,0.0,0.0,0.0,0.0,0.3571428571428571,0.5284336548054539,0.0,0.0,0.0,0.0,0.0,0.0,4.242364007791344
105,Bob Davies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1952.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.5120925341745531,0.0,0.41666666666666663,0.0,4.13744667267538
106,Joe Fulks,0.0,0.0,0.0,16.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1950.5,0.0,0.0,0.0,0.0,0.14285714285714285,0.5443964083804457,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,4.041535781588991
107,Mike Newlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12507.0,0.0,1977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42271293375394314,0.0,0.0,0.3980712307839206,3.687783385307149
108,Walt Hazzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1969.5,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.5162986330178759,0.0,0.0,0.0,3.5954664263181613
109,Walter Dukes,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1959.5,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.49148099606815204,0.0,0.0,0.0,0.0,3.5708650065530803
110,Jim Loscutoff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959.5,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5236363636363635
111,Arnie Risen,0.0,0.0,0.0,0.0,0.0,0.0,9.73,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1953.5,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.4250764525993884,0.0,0.0,0.08333333333333333,0.0,3.4386424202708614
112,Bob Boozer,0.0,0.0,0.0,0.0,0.0,0.0,8.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12964.0,0.0,1966.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.3560506771515946,0.0,0.0,0.0,0.4126165695916484,3.4146593918907002
113,Wayne Embry,0.0,0.0,0.0,0.0,0.0,0.0,9.08,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1964.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0,0.0,0.39667977282656186,0.0,0.0,0.0,0.0,3.3609305373525555
114,Lucius Allen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,1974.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4752891692954784,0.0,0.0,0.0,3.1796845425867506
115,Clyde Lee,0.0,0.0,0.0,0.0,0.0,0.0,10.28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.5,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.4491044124071647,0.0,0.0,0.0,0.0,3.1459370904325032
116,John Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1976.5,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.3974763406940063,0.0,0.0,0.0,2.9419738621000446
117,Ray Scott,0.0,0.0,0.0,0.0,0.0,0.0,9.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42988204456094364,0.0,0.0,0.0,0.0,2.875910878112713
118,Luke Jackson,0.0,0.0,0.0,0.0,0.0,0.0,8.84,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.5,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.38619484491044126,0.0,0.0,0.0,0.0,2.7250720838794233
119,Herm Gilliam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4048370136698212,0.0,0.0,0.0,2.708359621451104
120,Eric Money,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,1977.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40063091482649843,0.0,0.0,0.0,2.6802208201892745
121,Tom Meschery,0.0,0.0,0.0,0.0,0.0,0.0,8.61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.5,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.3761467889908257,0.0,0.0,0.0,0.0,2.657850589777196
122,Kenny Sears,0.0,0.0,0.0,0.0,0.0,0.0,7.83,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.3420707732634338,0.0,0.0,0.0,0.0,2.5713106159895154
